filename	sentence	link
SST01600L7-CC.superconductors.tei.xml	Under-doped La 2−x Sr x CuO 4 with x = 0.063 -0.125: TSFZ growth of high-quality crystals and anomalous doping dependences of superconducting properties	0
SST01600L7-CC.superconductors.tei.xml	to be published on Superconductor Science and Technology A series of high-quality La2−xSrxCuO4 (LSCO) superconductor crystals in the under-doping region with x = 0.063, 0.07, 0.09, 0.10, 0.111 and 0.125 has been successfully prepared by traveling-solvent floating-zone (TSFZ) technique.	0
SST01600L7-CC.superconductors.tei.xml	The crystals are large and free of sub-grains and foreign phases.	0
SST01600L7-CC.superconductors.tei.xml	The high crystal quality has been revealed by double-crystal x-ray rocking curves and Rutherford backscattering spectrometry combined with ionbeam channeling effect.	0
SST01600L7-CC.superconductors.tei.xml	"We find that the evolutions of the superconducting transition width and volume fraction as a function of carrier concentration exhibit interesting anomalies in the vicinity of some ""magic number"" doping levels such as x = 1/4 2 (=0.0625) and 1/3 2 (=0.111)."	0
SST01600L7-CC.superconductors.tei.xml	We argue that these behaviours are of intrinsic electronic origin.	0
SST01600L7-CC.superconductors.tei.xml	PACS Number: 74.72.Dn; 74.25.Ha.	0
SST01600L7-CC.superconductors.tei.xml	La 2−x Sr x CuO 4 (LSCO) system is known to be one of the cuprate superconductor systems with fewer components and a simple layered structure of K 2 NiF 4 type which can be basically described as a stacking of single-plane CuO 2 superconducting layers separated by two (La, Sr)O layers.	0
SST01600L7-CC.superconductors.tei.xml	The intrinsic Josephson junctions of LSCO have recently been characterized as stacked serial SIS junctions , and its high Josephson plasma frequency in THz region is quite interesting for developing new electronic devices such as THz generators and detectors .	0
SST01600L7-CC.superconductors.tei.xml	On the other hand, its electronic states strongly depend on hole-doping which can be achieved with the substitution of Sr 2+ cations for La 3+ ones.	0
SST01600L7-CC.superconductors.tei.xml	At very low doping (x < 0.02), La 2−x Sr x CuO 4 is an antiferromagnetic Mott insulator.	0
SST01600L7-CC.superconductors.tei.xml	After crossing a spin glass state (0.02 < x < 0.05) , it becomes a superconductor (0.05 < x < 0.26) and then changes to a normal metal (0.26 < x < 0.6) and finally it behaves as a semiconductor (x > 0.6) .	0
SST01600L7-CC.superconductors.tei.xml	In the superconductor regime, the critical temperature of LSCO reaches its maximum of 38 K at x = 0.15.	1
SST01600L7-CC.superconductors.tei.xml	The investigation on the doping dependences of low temperature physical properties in both normal and superconducting states is important for acquiring a better understanding of high T C superconductivity and strongly correlated electron systems.	0
SST01600L7-CC.superconductors.tei.xml	LSCO system is therefore not only attractive in its possible applications but also in such fundamental research.	0
SST01600L7-CC.superconductors.tei.xml	For both purposes, high-quality and sizable single crystals are highly demanded, and persistent effort has been made in the crystal growth using different techniques .	0
SST01600L7-CC.superconductors.tei.xml	Traveling-solvent floating-zone (TSFZ) method is widely accepted as a unique approach to growing such incongruent melting oxide superconductor crystals.	0
SST01600L7-CC.superconductors.tei.xml	This crucible-free technique avoids the crystal contamination from crucible material that will otherwise interfere with the observation of intrinsic physical properties.	0
SST01600L7-CC.superconductors.tei.xml	The large temperature gradient produced by focused lamp images makes possible good solid-liquid interfaces and a stable molten zone.	0
SST01600L7-CC.superconductors.tei.xml	By using TSFZ method, we have successfully prepared a series of large and high-quality La 2−x Sr x CuO 4 single crystals covering some interesting under-doping levels (x = 0.063 -0.125) with the aim of systematic investigation on the physical properties.	0
SST01600L7-CC.superconductors.tei.xml	We first report here the results of TSFZ growth and characterizations of some properties of these LSCO crystals.	0
SST01600L7-CC.superconductors.tei.xml	Interesting anomalous doping dependences of superconducting properties are observed in this series of crystals and are briefly discussed.	0
SST01600L7-CC.superconductors.tei.xml	High purity (≥ 99.99%) oxides La 2 O 3 , CuO and carbonate SrCO 3 were used as the raw materials.	0
SST01600L7-CC.superconductors.tei.xml	For the feed rods, the initial composition was (1-x/2)La 2 O 3 /xSrCO 3 /CuO in molar ratio with x = 0.063, 0.07, 0.09, 0.10, 0.111 and 0.125.	0
SST01600L7-CC.superconductors.tei.xml	Excess CuO of 1 -2 mol% was added for compensating its evaporation loss in the growth process.	0
SST01600L7-CC.superconductors.tei.xml	The solvents were much richer in CuO as self-flux, typically of 78 mol% CuO. In determining the Sr contents of the solvents, we took into account the previously reported results of distribution coefficients k Sr of Sr doping into La 2 CuO 4 .	0
SST01600L7-CC.superconductors.tei.xml	The Preparation of dense and homogeneous feed rods is one of the key factors in achieving a stable and continuous TSFZ growth.	0
SST01600L7-CC.superconductors.tei.xml	Each step in the preparation was carefully checked and optimized, such as thorough mixing and grinding of the starting and prefired powders by a planetary ball mill, forming compact cylindrical rods under a high hydrostatic pressure before the feed rods being finally well sintered.	0
SST01600L7-CC.superconductors.tei.xml	An infrared heating floating-zone furnace with a quartet ellipsoidal mirror (Crystal Systems Inc., Model FZ-T-10000-H) was used for TSFZ experiments.	0
SST01600L7-CC.superconductors.tei.xml	The crystals were grown under an oxygen pressure of 0.2 MPa at a zone traveling rate of 0.8 mm/hr using seed crystals orientated along orthorhombic or tetragonal [100] or [110] directions.	0
SST01600L7-CC.superconductors.tei.xml	By careful operations and the use of high quality feed rods, a stable molten zone was successfully maintained in most experiments until proceeding growths were artificially stopped just before the whole feed rods, typically 125 mm long, ran out.	0
SST01600L7-CC.superconductors.tei.xml	Shown in is the photo for one of as-grown ingots, with a typical size of 5-6 mm in diameter and 110 mm in length.	0
SST01600L7-CC.superconductors.tei.xml	Polished crystal pieces cut from the ingots were checked by optical microscopy using polarized or normal light.	0
SST01600L7-CC.superconductors.tei.xml	No grain boundaries were observed in the crystallized ingots after several centimeters away from the starting point of crystallization on seed crystals, indicating that large single-grain crystals were obtained.	0
SST01600L7-CC.superconductors.tei.xml	The compositions of grown crystals estimated by ICP-AES were very close to those of feed rods, and no foreign phases in crystal samples were detected by powder XRD analysis.	0
SST01600L7-CC.superconductors.tei.xml	As-grown ingot of La 1.875 Sr 0.125 CuO 4 crystal.	0
SST01600L7-CC.superconductors.tei.xml	Experiments of x-ray rocking curves were performed on representative La 1.91 Sr 0.09 CuO 4 (x = 0.09) crystal using a double-crystal diffractometer (Rigaku, Model SLX-1) equipped with a 12 KW rotating Cu target and a Ge (004) monochromator (α ∼ 5 o ).	0
SST01600L7-CC.superconductors.tei.xml	shows the rocking curve of (008) Bragg reflection for this sample having a surface dimension of 4mm × 15mm (the beam slit size was set to 0.5mm × 10mm).	0
SST01600L7-CC.superconductors.tei.xml	The fullwidth-at-half-maximum (FWHM), which is correlated with the crystal mosaicity, is as small as 0.10 o .	0
SST01600L7-CC.superconductors.tei.xml	This is one of the best data reported so far for LSCO crystals .	0
SST01600L7-CC.superconductors.tei.xml	The quality of the same crystal was also examined by Rutherford backscattering spectrometry combined with ionbeam channeling effect (RBS-channeling) which was carried out using 2 MeV well collimated He ion beam and a Si detector set at 160 o to the incident direction.	0
SST01600L7-CC.superconductors.tei.xml	The channeling spectrum was taken along the c-axis of the crystal.	0
SST01600L7-CC.superconductors.tei.xml	The RBSchanneling minimum yield is only χ min = 3.8% , being another evidence for the high quality of the crystal.	0
SST01600L7-CC.superconductors.tei.xml	Moreover, it can be seen from that, for the aligned spectrum, the backscattering counts increase very slowly with depth.	0
SST01600L7-CC.superconductors.tei.xml	This is a strong indication that the defect density in the crystal is very low.	0
SST01600L7-CC.superconductors.tei.xml	Rocking curve of (008) reflection for La 1.91 Sr 0.09 CuO 4(x = 0.09) crystal taken by double-crystal x-ray diffraction using Cu Kα 1 radiation.	0
SST01600L7-CC.superconductors.tei.xml	The surface dimension of the sample is 4mm × 15mm and the beam slit size is 0.5mm × 10mm.	0
SST01600L7-CC.superconductors.tei.xml	The Meissner (field-cooled) and shielding (zerofield-cooled) signals of all the six crystal samples were measured on a SQUID magnetometer (Quantum Design, MPMS XL) in a low field of 5 Oe with c/H, as shown in .	0
SST01600L7-CC.superconductors.tei.xml	The superconducting critical temperatures observed from the Meissner effects range from about 11K for x = 0.063 to about 31K for x = 0.125.	1
SST01600L7-CC.superconductors.tei.xml	"It is of much interest to note that, around some special doping levels with ""magic numbers"" such as x = 1/4 2 (=0.0625) and 1/3 2 (=0.111), the superconducting transitions are much sharper (∆T ≈ 2K) than those at the doping contents away from them and the Meissner fraction drops remarkably upon doping in the close vicinity of x = 1/3 2 ."	0
SST01600L7-CC.superconductors.tei.xml	Moreover, the shielding signals exhibit the same broadening trend for the doping levels away from the magic numbers and they all have 100% volume fraction.	0
SST01600L7-CC.superconductors.tei.xml	This indicates that there is no macroscopic inhomogeneity and/or weak links.	0
SST01600L7-CC.superconductors.tei.xml	Generally speaking, crystalline imperfection may broaden superconducting transition and a narrow transition width is	0
SST01600L7-CC.superconductors.tei.xml	MeV 4 He + ions RBS-channeling effect on La 1.91 Sr 0.09 CuO 4 (x = 0.09) crystal.	0
SST01600L7-CC.superconductors.tei.xml	The aligned spectrum is taken along c-axis of the crystal and the random spectrum with the sample rotating and tilted 10 degrees away from the aligned direction.	0
SST01600L7-CC.superconductors.tei.xml	The RBS-channeling minimum yield is only χ min = 3.8%.	0
SST01600L7-CC.superconductors.tei.xml	expected for superconductor crystals of high quality.	0
SST01600L7-CC.superconductors.tei.xml	We have evidenced that the x = 0.09 LSCO crystal is of excellent crystalline perfection, but, contrary to the expectation, it exhibits a broad superconducting transition.	0
SST01600L7-CC.superconductors.tei.xml	As a further check, the La 1.91 Sr 0.09 CuO 4 sample was annealed under various conditions for several to twelve days at 600-1000 o C under oxygen flow or 0.3 MPa oxygen pressure before quenched in liquid nitrogen.	0
SST01600L7-CC.superconductors.tei.xml	However, magnetic measurements showed that its transition width remained unchanged after these annealing processes.	0
SST01600L7-CC.superconductors.tei.xml	These results and observations thus lead us to conclude that such anomalies of superconducting properties in the vicinity of these magic doping levels as well as the broad transitions at the dopant contents away from these magic numbers are of intrinsic electronic origin.	0
SST01600L7-CC.superconductors.tei.xml	At these special carrier concentrations, some specific electronic state may occur but it may not be completely pinned down elsewhere in this doping region.	0
SST01600L7-CC.superconductors.tei.xml	Indeed, both superconducting electronic phase separations and the formation of 2D electronic lattices	0
SST01600L7-CC.superconductors.tei.xml	at magic doping numbers are reported in Sr doped and Sr/O co-doped lanthanum cuprates.	0
SST01600L7-CC.superconductors.tei.xml	Further related investigations are currently in progress.	0
SST01600L7-CC.superconductors.tei.xml	Meissner curves (symboled lines) and shielding curves (bare lines) of La 2−x Sr x CuO 4 single crystals with various doping levels (x = 0.063 -0.125).	0
SST01600L7-CC.superconductors.tei.xml	In conclusion, we have successfully prepared by TSFZ method a series of high-quality La 2−x Sr x CuO 4 superconductor crystals in the under-doping regime with x = 0.063 -0.125.	0
SST01600L7-CC.superconductors.tei.xml	The crystals are pure, subgrain-free and large in size.	0
SST01600L7-CC.superconductors.tei.xml	We have observed from the magnetic measurements that the superconducting transition width narrows in the close vicinity of some magic doping levels while remains broad at other dopant contents, and the Meissner fraction shows an unusual decrease around x = 1/3 2 .	0
SST01600L7-CC.superconductors.tei.xml	We suppose that such interesting anomalous behaviours in superconducting state may probably originate from some intrinsic electronic state occurring at these special carrier-dopings.	0
Drozdov_etal_2015.superconductors.tei.xml	Conventional superconductivity at 203 kelvin at high pressures in the sulfur hydride system	1
Drozdov_etal_2015.superconductors.tei.xml	A superconductor is a material that can conduct electricity without resistance below a superconducting transition temperature, T c .	0
Drozdov_etal_2015.superconductors.tei.xml	The highest T c that has been achieved to date is in the copper oxide system 1 : 133 kelvin at ambient pressure 2 and 164 kelvin at high pressures .	1
Drozdov_etal_2015.superconductors.tei.xml	As the nature of superconductivity in these materials is still not fully understood (they are not conventional superconductors), the prospects for achieving still higher transition temperatures by this route are not clear.	0
Drozdov_etal_2015.superconductors.tei.xml	In contrast, the Bardeen-Cooper-Schrieffer theory of conventional superconductivity gives a guide for achieving high T c with no theoretical upper bound-all that is needed is a favourable combination of high-frequency phonons, strong electron-phonon coupling, and a high density of states .	0
Drozdov_etal_2015.superconductors.tei.xml	These conditions can in principle be fulfilled for metallic hydrogen and covalent compounds dominated by hydrogen , as hydrogen atoms provide the necessary high-frequency phonon modes as well as the strong electron-phonon coupling.	0
