Material,Tc,Correct,Pathf
"(A = K, Rb, Cs, and Tl)",32 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/11/115005/sust_30_11_115005am.pdf
"(Gd,Y)BCO films",90 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/10/104003/sust_28_10_104003.pdf
"(Sr,K)-122",33.230.0 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/9/093001/sust_31_9_093001am.pdf
"(Tr = Y, Ti, Zr, and Hf)",2.70 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/3/035011/sust_29_3_035011.pdf
"2H8N2)yFe2−zSe2 (A = Li, Na)",45 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/9/093001/sust_31_9_093001am.pdf
"A x Fe 2−y Se 2 (122 type, A=K, Rb, and Cs)",31 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/10/105015/sust_29_10_105015.pdf
"AFe 2 As 2 (A = Ca, Sr, Ba, Eu, etc.)",49 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/3/035007/sust_30_3_035007am.pdf
"AM x (NH 3 ) y Fe 2 Ch 2 (AM = alkali, alkali-earth",45 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/11/115005/sust_30_11_115005am.pdf
"Bi 4 O 4 S 3 , REO −x 1 F x BiS 2 (RE: La , Ce",10 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/1/015008/SUST_28_1_015008.pdf
"Bi 4 O 4 S 3 , REO −x 1 F x BiS 2",10 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/1/015008/SUST_28_1_015008.pdf
"BiS 2 -based superconductors Sr x 1-Ln x FBiS 2 (Ln=La, Ce)",8 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/4/04LT03/sust_29_4_04LT03.pdf
"CaC 6 , 4",11.4 K,OK,supercon_papers/supercon_files_20190308/aip/data/fy2018/JAP/v123/i13/135304_1/vor_1.5016397.pdf
"Fe(Te, Se)",15 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/11/115005/sust_30_11_115005am.pdf
"FeAs 2 (RE=Rare earth,112-type)",40 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/5/055005/sust_29_5_055005.pdf
"Group V hydride (phosphorus hydride, PH 3",103 K,OK,supercon_papers/supercon_files_20190308/aip/data/fy2018/JCP/v149/i7/074101_1/vor_1.5031202.pdf
"La −x 1 M x OBiS 2 (M = Ti, Zr, Hf, Th)",10 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/1/015008/SUST_28_1_015008.pdf
"LaFeAs(O, F)",26 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/6/065005/sust_28_6_065005.pdf
"LaFeAs(O,F) thin films",11 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/9/093001/sust_31_9_093001am.pdf
"Nb 3 Sn, Nb 3 Al, Nb 3 Ge, Nb 3 Ga",15-20 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/11/113002/sust_29_11_113002.pdf
"Nb 3 Sn, Nb 3 Al, Nb 3 Ge, Nb 3 Ga, V 3 Si",15-20 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/11/113002/sust_29_11_113002.pdf
"NdFeAs(O,F) films",48 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/9/093001/sust_31_9_093001am.pdf
"REBa 2 Cu 3 O y (REBCO, RE = rare earth",90 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/8/084009/sust_30_8_084009.pdf
"Rb, Cs, and Tl) are intercalated into FeCh",32 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/11/115005/sust_30_11_115005am.pdf
"SmFeAs(O,F)",56 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/9/093001/sust_31_9_093001am.pdf
"Sr 1−x Na x )Fe 2 As 2 , polycrystalline samples",26 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/10/105007/sust_28_10_105007.pdf
"Tr-′ = transition metals; X = P, As, Si)",15 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/3/035011/sust_29_3_035011.pdf
"TrIrSi (Tr = Ti, Zr",1.4 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/3/035011/sust_29_3_035011.pdf
"TrIrSi (Tr = Y, Ti, Zr, and Hf)",2.70 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/3/035011/sust_29_3_035011.pdf
"TrTr X ¢ (Tr, Tr-′ = transition metals; X = P, As, Si)",15 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/3/035011/sust_29_3_035011.pdf
"V hydride (phosphorus hydride, PH 3",103 K,OK,supercon_papers/supercon_files_20190308/aip/data/fy2018/JCP/v149/i7/074101_1/vor_1.5031202.pdf
"Zr-added (Gd, Y)BaCuO",92 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/1/015016/sust_30_1_015016.pdf
"found superconductivity enhancement in several metal-doped 2H-TaSe 2 systems (doped with Cu, Sn, Pb, Bi)",2.5 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/12/125001/sust_30_12_125001am.pdf
"hydrogen sulfide, H 3 S",203 K,OK,supercon_papers/supercon_files_20190308/aip/data/fy2018/JCP/v149/i7/074101_1/vor_1.5031202.pdf
"metal-doped 2H-TaSe 2 systems (doped with Cu, Sn, Pb, Bi)",2.5 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/12/125001/sust_30_12_125001am.pdf
"metals; X = P, As, Si)",15 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/3/035011/sust_29_3_035011.pdf
"of Fe(Te, Se)",15 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/11/115005/sust_30_11_115005am.pdf
"undoped, polycrystalline, selenium-deficient FeSe 1−x",7.5 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/2/025013/SUST_28_2_025013.pdf
% BZO-Co-Ba122,21.8 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/8/085006/sust_30_8_085006.pdf
(BHO-doped YBCO,=88.0±0.4 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/4/044007/sust_31_4_044007.pdf
(Bi 2.43 Sr 1.85 Ca 0.90 Cu 1.82 O x ),80 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/8/085017/sust_28_8_085017.pdf
(Mo 0.90 Ru 0.1 ) 3 Sb 7,2.34 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/12/125001/sust_29_12_125001.pdf
(Mo 2.7 Re 1,11 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/11/113002/sust_29_11_113002.pdf
(RE)BCO bulk,90-92 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/5/053002/sust_28_5_053002.pdf
(Sr 0.45 Na 0.55 )Fe 2 As 2,36.5 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/6/062001/sust_28_6_062001.pdf
(Sr 0.5 Na 0.5 )Fe 2 As 2,35 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/6/062001/sust_28_6_062001.pdf
(Sr 0.5 Na 0.5 )Fe 2 As 2,35-36 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/6/062001/sust_28_6_062001.pdf
(n = 1) Bi 2 Sr 2 CuO 6+δ,20 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/1/015009/sust_31_1_015009am.pdf
